,id,gender,state,region,education,income,vehicle_class,policy_type,monthly_premium,customer_lifetime_value,total_claim_amount,open_complaints
150,pa38372,f,washington,east,high school or below,33060.0,four-door car,personal auto,117.0,9358,56.73,0
151,ro18530,m,washington,east,master,42557.0,four-door car,personal auto,65.0,2541,57.56,0
152,pd27940,m,arizona,central,high school or below,26372.0,suv,personal auto,126.0,4885,604.8,0
153,bs77946,f,arizona,central,bachelor,17514.0,suv,personal auto,127.0,9753,8.31,0
154,ym50253,f,california,west,bachelor,89270.0,four-door car,personal auto,74.0,2946,316.6,0
155,nr15332,m,california,west,high school or below,29757.0,four-door car,personal auto,65.0,2581,312.0,0
156,rc62865,m,oregon,north west,college,51814.0,four-door car,personal auto,92.0,3517,56.3,0
157,cc15295,f,oregon,north west,bachelor,24028.0,four-door car,personal auto,82.0,9743,393.6,0
158,ka61892,m,arizona,central,college,28142.0,sports car,personal auto,105.0,3874,701.71,0
159,os94884,f,arizona,central,bachelor,52705.0,two-door car,personal auto,64.0,7649,128.71,1
160,nd87334,m,california,west,high school or below,50510.55,two-door car,corporate auto,63.0,2288,679.37,0
161,oy51402,f,washington,east,high school or below,54040.0,suv,personal auto,103.0,8256,59.99,0
162,yl74911,f,california,west,college,50510.55,suv,personal auto,118.0,8715,566.4,0
163,gk92563,f,washington,east,doctor,22492.0,two-door car,personal auto,85.0,6819,61.65,0
164,hl53154,m,california,west,bachelor,50510.55,four-door car,personal auto,77.0,7416,554.4,2
165,ri78966,m,oregon,north west,master,21876.0,four-door car,personal auto,68.0,7771,465.41,0
166,ic13702,f,california,west,bachelor,50510.55,four-door car,personal auto,69.0,6968,496.8,1
167,be10809,f,california,west,high school or below,50510.55,four-door car,personal auto,61.0,4250,292.8,1
170,ts19868,m,california,west,college,27501.0,four-door car,personal auto,63.0,2413,542.32,0
171,lp45550,f,oregon,north west,doctor,15897.0,four-door car,personal auto,101.0,15364,303.15,0
172,qr87004,f,nevada,central,college,25141.0,four-door car,personal auto,73.0,8457,25.44,1
173,oe75747,f,nevada,central,college,50510.55,four-door car,personal auto,61.0,2190,292.8,3
174,dx91392,m,california,west,high school or below,51066.0,four-door car,personal auto,74.0,5780,787.99,0
175,ab72731,f,california,west,bachelor,28358.0,sports car,personal auto,117.0,4640,84.02,0
176,gx84338,f,washington,east,doctor,62530.0,four-door car,personal auto,95.0,3824,61.69,0
177,is12901,f,arizona,central,bachelor,90972.0,two-door car,personal auto,74.0,5968,232.93,0
178,bn90616,f,washington,east,bachelor,63110.0,four-door car,personal auto,72.0,8590,68.18,0
179,hh90090,f,california,west,bachelor,29549.0,sports car,personal auto,104.0,4077,710.43,0
180,iu25463,f,california,west,bachelor,50510.55,four-door car,personal auto,115.0,12253,552.0,1
182,pd33979,m,oregon,north west,high school or below,21709.0,four-door car,personal auto,62.0,4892,408.37,0
183,nk71023,m,nevada,central,bachelor,67890.0,four-door car,personal auto,85.0,9942,408.0,0
184,ab13432,m,california,west,bachelor,50510.55,suv,personal auto,110.0,3736,792.0,0
185,oz97704,f,california,west,high school or below,84311.0,suv,personal auto,111.0,13118,532.8,4
186,uf46533,f,california,west,college,99316.0,suv,corporate auto,114.0,4575,754.36,0
187,xp47431,f,arizona,central,bachelor,54507.0,suv,personal auto,138.0,5470,702.99,0
188,gk73582,f,california,west,bachelor,64586.0,four-door car,personal auto,76.0,2979,206.84,0
189,rv98763,m,oregon,north west,college,61709.0,four-door car,personal auto,82.0,6411,275.4,2
190,ii62831,m,california,west,master,94656.0,suv,special auto,111.0,4479,459.74,1
191,xk33449,f,california,west,high school or below,50510.55,two-door car,special auto,69.0,2384,496.8,0
192,tr85083,m,california,west,bachelor,61085.0,two-door car,personal auto,70.0,2764,336.0,1
193,eo95328,f,oregon,north west,bachelor,89284.0,two-door car,personal auto,67.0,7920,321.6,3
194,en21086,f,arizona,central,high school or below,50510.55,four-door car,personal auto,63.0,6889,302.4,0
195,yl83902,f,washington,east,bachelor,31686.0,four-door car,personal auto,81.0,3274,430.99,0
197,zw25874,m,oregon,north west,bachelor,53703.0,four-door car,special auto,67.0,2522,67.63,2
199,mw70227,m,california,west,college,20396.0,four-door car,personal auto,76.0,6047,364.8,1
200,sl22297,f,california,west,master,27679.0,suv,personal auto,150.0,11140,722.49,0
201,rv14138,f,nevada,central,bachelor,23904.0,suv,personal auto,123.0,4334,590.4,3
202,uo62808,f,arizona,central,high school or below,65351.0,four-door car,corporate auto,69.0,2800,481.03,0
204,fl34139,m,california,west,high school or below,50510.55,four-door car,personal auto,63.0,3688,669.68,3
206,xx12304,f,california,west,college,64459.0,four-door car,personal auto,72.0,2925,240.26,0
208,oy38576,f,oregon,north west,high school or below,71416.0,suv,corporate auto,116.0,9277,556.8,0
209,bg76355,f,washington,east,bachelor,68964.0,four-door car,personal auto,78.0,6274,115.09,0
210,ip66913,m,california,west,high school or below,78108.0,two-door car,personal auto,98.0,3887,470.4,0
211,le95702,m,california,west,college,10621.0,four-door car,special auto,67.0,4386,321.6,0
212,kx54357,m,washington,east,college,84910.0,two-door car,corporate auto,95.0,11365,383.17,0
213,ez78112,f,california,west,high school or below,77493.0,four-door car,special auto,70.0,5611,307.96,0
214,xn16891,m,arizona,central,college,81097.0,four-door car,personal auto,74.0,2913,355.2,0
215,xk31350,f,oregon,north west,college,96610.0,four-door car,corporate auto,85.0,6916,520.36,0
216,cc30924,m,oregon,north west,college,30110.0,sports car,corporate auto,159.0,6263,466.44,0
217,it78748,f,oregon,north west,high school or below,22081.0,two-door car,special auto,84.0,6503,451.67,0
218,ky33386,f,washington,east,high school or below,50510.55,sports car,personal auto,112.0,8007,537.6,0
219,co44221,m,california,west,college,98473.0,four-door car,personal auto,72.0,2930,345.6,0
220,lk60013,f,oregon,north west,bachelor,97431.0,four-door car,personal auto,74.0,5970,355.2,0
221,de21533,m,california,west,bachelor,93870.0,four-door car,personal auto,69.0,5473,331.2,0
222,ys94121,m,nevada,central,high school or below,50366.0,four-door car,personal auto,72.0,5645,428.73,0
223,uk68427,m,washington,east,high school or below,34498.0,two-door car,personal auto,83.0,6369,398.4,0
224,te49565,f,oregon,north west,college,16552.0,suv,personal auto,103.0,11834,494.4,0
225,ra88421,f,oregon,north west,college,26787.0,four-door car,personal auto,77.0,6121,369.6,0
226,kq51983,m,nevada,central,college,50510.55,two-door car,personal auto,74.0,5159,831.75,0
227,cd88896,f,nevada,central,high school or below,43860.0,four-door car,corporate auto,65.0,2515,156.12,0
228,yv22553,m,arizona,central,high school or below,21474.0,suv,corporate auto,114.0,8669,373.43,2
229,wu14435,m,california,west,bachelor,18174.0,four-door car,corporate auto,66.0,4961,395.93,0
230,xv84099,f,arizona,central,bachelor,50510.55,four-door car,corporate auto,73.0,5504,350.4,0
231,ri24911,m,arizona,central,college,60920.0,two-door car,personal auto,64.0,7507,231.2,0
233,hi14283,f,oregon,north west,bachelor,50510.55,suv,personal auto,152.0,5657,729.6,0
234,pt50227,m,arizona,central,high school or below,50510.55,two-door car,personal auto,68.0,5062,326.4,0
235,bh36570,m,california,west,bachelor,72208.0,two-door car,personal auto,73.0,5913,350.4,0
236,tx17484,f,california,west,bachelor,53863.0,four-door car,personal auto,63.0,15182,105.77,0
237,ct41158,m,washington,east,college,66446.0,suv,corporate auto,136.0,10747,639.46,0
238,ao87348,m,washington,east,college,50510.55,four-door car,personal auto,61.0,2051,292.8,0
239,de55857,f,washington,east,bachelor,64997.0,four-door car,personal auto,63.0,2465,383.44,1
240,lf66923,f,nevada,central,high school or below,64460.0,two-door car,corporate auto,66.0,5343,316.8,0
241,cn24514,f,arizona,central,college,46618.0,four-door car,personal auto,67.0,8120,99.09,0
242,uw32074,f,oregon,north west,college,50510.55,four-door car,corporate auto,64.0,4605,307.2,0
243,hp36979,m,california,west,college,49988.0,two-door car,personal auto,84.0,6409,566.94,5
244,pp40919,f,california,west,college,50510.55,two-door car,personal auto,91.0,2377,436.8,5
245,ro73268,m,california,west,bachelor,16269.0,two-door car,corporate auto,86.0,3211,412.8,0
246,ho61691,f,arizona,central,bachelor,72006.0,four-door car,personal auto,64.0,5095,307.2,0
249,hr10526,m,california,west,master,44320.0,four-door car,personal auto,67.0,8045,321.6,0
250,ia63417,f,arizona,central,high school or below,19782.0,two-door car,personal auto,108.0,4002,773.47,0
252,pk52952,m,arizona,central,doctor,28224.0,suv,personal auto,109.0,8544,523.2,0
253,od76309,f,washington,east,college,21073.0,suv,personal auto,106.0,7805,508.8,1
254,il28481,m,oregon,north west,bachelor,63243.0,four-door car,personal auto,77.0,6113,364.24,0
255,gy55092,m,nevada,central,high school or below,20993.0,suv,personal auto,133.0,4773,638.4,0
256,uf33451,f,oregon,north west,bachelor,94827.0,suv,personal auto,135.0,10979,354.73,0
257,cf15558,f,california,west,master,39161.0,two-door car,personal auto,63.0,5004,284.0,1
258,jm62924,m,washington,east,bachelor,37534.0,four-door car,personal auto,84.0,13223,403.2,2
259,em66435,f,oregon,north west,bachelor,80210.0,four-door car,corporate auto,65.0,2623,20.54,0
261,ji71369,f,california,west,college,30110.0,four-door car,personal auto,64.0,5106,140.17,0
263,gu66096,m,arizona,central,high school or below,94731.0,four-door car,personal auto,67.0,5457,321.6,0
264,uc33108,m,california,west,bachelor,32375.0,four-door car,personal auto,83.0,6564,398.4,0
265,lw93867,m,oregon,north west,college,16531.0,four-door car,corporate auto,63.0,4813,102.88,0
267,xw90265,f,arizona,central,bachelor,81676.0,two-door car,personal auto,72.0,5774,463.16,0
268,hs67749,m,california,west,college,71038.0,four-door car,corporate auto,86.0,6847,205.44,0
269,vz51506,f,arizona,central,high school or below,50510.55,sports car,corporate auto,103.0,3595,741.6,0
271,ae98193,m,washington,east,high school or below,50510.55,suv,personal auto,113.0,7859,813.6,0
272,az74055,m,oregon,north west,high school or below,52405.0,four-door car,personal auto,103.0,4116,494.4,0
273,xs76911,f,arizona,central,high school or below,50510.55,sports car,personal auto,133.0,5030,795.86,0
275,na12740,m,oregon,north west,master,25486.0,two-door car,special auto,65.0,5004,72.44,0
276,ua84837,m,arizona,central,college,24065.0,four-door car,corporate auto,111.0,8630,532.8,0
277,dj51510,f,arizona,central,high school or below,70435.0,four-door car,personal auto,116.0,9322,67.88,0
279,oh60605,f,oregon,north west,high school or below,39679.0,two-door car,personal auto,92.0,3653,641.39,0
280,uo98052,m,nevada,central,college,50510.55,four-door car,personal auto,89.0,6159,342.48,0
281,nc53424,m,california,west,bachelor,50510.55,two-door car,personal auto,69.0,4376,331.2,4
282,lq13873,m,nevada,central,high school or below,53565.0,four-door car,personal auto,71.0,5569,340.8,1
283,la97014,m,washington,east,bachelor,37574.0,two-door car,personal auto,66.0,2577,412.1,1
284,nb79936,m,washington,east,bachelor,48259.0,two-door car,personal auto,108.0,8347,73.7,0
285,nt89061,f,arizona,central,high school or below,78532.0,four-door car,personal auto,78.0,6324,374.4,0
286,af10970,f,arizona,central,bachelor,96163.0,four-door car,corporate auto,73.0,5973,350.4,0
287,zg48513,m,california,west,bachelor,50510.55,four-door car,personal auto,72.0,4707,345.6,0
288,jq59145,m,california,west,high school or below,50510.55,sports car,personal auto,114.0,8093,722.02,1
289,fe84989,m,washington,east,college,72672.0,four-door car,personal auto,63.0,5036,259.36,0
290,jt52858,f,oregon,north west,bachelor,99002.0,four-door car,personal auto,112.0,9028,537.6,1
291,mc62068,m,california,west,high school or below,79494.0,four-door car,personal auto,91.0,7289,396.3,0
293,rh42306,f,arizona,central,bachelor,50510.55,four-door car,corporate auto,71.0,4992,653.39,0
294,us23612,f,oregon,north west,high school or below,26049.0,two-door car,personal auto,118.0,9102,121.03,0
295,wv76014,m,arizona,central,doctor,70125.0,four-door car,special auto,64.0,2540,92.81,0
296,rk96223,m,california,west,college,52369.0,suv,personal auto,110.0,12942,528.0,1
297,mf82000,f,washington,east,bachelor,50510.55,four-door car,special auto,66.0,2365,159.64,2
298,fm46980,m,arizona,central,college,41770.0,four-door car,personal auto,72.0,5721,476.16,0
299,sy56792,m,oregon,north west,high school or below,50510.55,four-door car,corporate auto,101.0,7036,727.2,0
300,rf61565,m,california,west,college,31911.0,four-door car,personal auto,67.0,2637,321.6,0
301,im94808,m,nevada,central,bachelor,70051.0,four-door car,corporate auto,68.0,5396,42.08,0
302,vi14730,m,oregon,north west,high school or below,19683.0,sports car,personal auto,117.0,8383,561.6,1
304,rr77985,f,oregon,north west,bachelor,50510.55,four-door car,personal auto,80.0,2888,676.94,0
305,qd28391,m,washington,east,college,84302.0,four-door car,personal auto,62.0,7426,76.61,0
307,tm23514,m,oregon,north west,college,60145.0,suv,personal auto,132.0,10273,580.47,0
308,mq68407,f,oregon,north west,bachelor,63774.0,four-door car,personal auto,111.0,4376,60.04,0
309,gj59592,f,california,west,bachelor,25134.0,four-door car,corporate auto,67.0,5319,321.6,0
310,fy56083,m,oregon,north west,bachelor,37057.0,four-door car,personal auto,61.0,4720,47.53,1
311,ua94723,f,oregon,north west,high school or below,58577.0,suv,personal auto,110.0,4428,303.87,0
312,fw91032,m,california,west,high school or below,85857.0,four-door car,corporate auto,73.0,5879,100.62,0
313,de34457,f,oregon,north west,doctor,70602.0,suv,personal auto,116.0,9417,481.34,0
314,hd32044,f,oregon,north west,master,33816.0,four-door car,corporate auto,106.0,8288,508.8,2
316,ah84063,f,oregon,north west,college,89642.0,suv,corporate auto,121.0,4719,86.32,4
317,qa17596,f,california,west,bachelor,60068.0,two-door car,personal auto,98.0,3903,470.4,0
318,xi41052,f,california,west,bachelor,50044.0,suv,personal auto,139.0,5457,667.2,0
319,di30528,f,california,west,master,36650.0,four-door car,personal auto,69.0,2725,56.6,1
320,sc66359,f,arizona,central,college,50653.0,suv,corporate auto,110.0,4434,262.87,0
321,en61670,f,arizona,central,doctor,68931.0,four-door car,personal auto,66.0,5332,309.58,0
322,dq10761,m,oregon,north west,bachelor,50510.55,four-door car,corporate auto,73.0,2315,350.4,1
323,bq51587,f,california,west,college,50510.55,four-door car,personal auto,73.0,5412,365.36,0
324,je21522,m,california,west,bachelor,39266.0,four-door car,personal auto,80.0,9587,384.0,0
326,za64638,f,nevada,central,high school or below,50510.55,four-door car,personal auto,98.0,9765,705.6,1
327,ew38459,f,nevada,central,bachelor,40864.0,four-door car,corporate auto,65.0,2567,9.52,0
328,qw87316,f,oregon,north west,college,39035.0,four-door car,personal auto,68.0,2651,244.56,0
329,ic43478,m,california,west,bachelor,34923.0,two-door car,personal auto,98.0,11264,639.11,0
330,te34064,m,california,west,high school or below,50510.55,four-door car,personal auto,63.0,2169,453.6,0
331,wu60905,f,california,west,high school or below,50510.55,suv,corporate auto,111.0,8611,532.8,0
332,ym18992,f,california,west,college,24506.0,two-door car,personal auto,71.0,2835,511.2,0
333,pd55753,m,oregon,north west,high school or below,50510.55,four-door car,personal auto,82.0,8930,554.52,0
334,ku56006,f,arizona,central,college,52220.0,four-door car,personal auto,70.0,5536,336.0,1
335,mj69973,m,arizona,central,high school or below,50510.55,two-door car,personal auto,74.0,2841,402.45,0
336,tw43626,m,california,west,college,53554.0,four-door car,personal auto,67.0,8083,327.02,0
337,xx84133,m,california,west,bachelor,34476.0,four-door car,corporate auto,67.0,5255,5.4,1
338,zw84453,f,arizona,central,bachelor,50510.55,four-door car,personal auto,70.0,5116,131.4,0
339,ho29524,m,california,west,college,68205.0,two-door car,personal auto,76.0,3035,99.38,0
340,ve89726,f,california,west,high school or below,50510.55,suv,personal auto,119.0,8025,856.8,1
342,px90263,m,oregon,north west,high school or below,50510.55,four-door car,personal auto,72.0,5122,518.4,0
343,ni17718,f,california,west,high school or below,50510.55,four-door car,personal auto,61.0,2150,292.8,0
